sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_255,170,188,0.0594126223186946,0.026490945215490697,0.0004559754215141,0.007758418654312626,0.000280887708481,-0.0013598270552368627
sensor_550,180,171,0.0540583516712689,0.04131294559836994,0.0004516653613836,0.01332642067085127,0.0001039721278703,0.00890171191909953
sensor_170,174,192,0.0576777749071074,0.017873670740482843,0.0006574844051069,0.009002639493492724,-1.31678362860226e-05,0.002790913006062087
sensor_167,184,175,0.0498617532146828,0.03827096660166063,0.0002912972030685,0.0073947810485646154,-3.349153462574381e-05,-0.0023852303786629403
sensor_337,178,189,0.0547990782075755,0.023529411764705882,0.000302868597876,0.0,0.0001731003627149,0.0
sensor_154,192,180,0.0340104035975734,0.03390340632644906,0.0003720578728825,0.018955242474663323,5.619336045429689e-05,0.0001183435633755124
sensor_046,190,181,0.0424253830400605,0.03275005496887897,0.0003356906661607,0.011340170276125484,4.980014293283387e-05,0.0011549209865677902
sensor_083,191,184,0.0366689907995051,0.029473276495564395,0.0004103869555225,0.015203820571954406,-3.195029213982121e-05,0.003614068511486683
sensor_051,185,195,0.0496807420455507,0.015122304689044599,0.0005132755557762,0.007189172927917138,0.0001756491110732,-0.0035394118121360204
sensor_548,195,185,0.0247546861934896,0.02908928843958041,0.0002651412360417,0.015597542108295741,5.844200076752695e-05,-0.0019366672911053497
sensor_520,186,187,0.0453595604313358,0.026610726761359654,0.0003207770385334,0.007979689019637262,0.0002002586608548,0.0009351716428795644
sensor_487,189,197,0.0434512392697436,0.006208485145946907,0.0004712309499956,0.0029454345627581103,8.450703234637662e-05,-0.0014698913928163936
sensor_136,193,190,0.0314067884361046,0.021600846916429956,0.0003109975895047,0.01157420836820988,0.0001527951280267,-0.0014603323913935764
sensor_482,196,191,0.0160797638565213,0.02136801066233428,0.000181421898753,0.011518480996613331,9.480411222835973e-06,-0.0012544214491882813
sensor_418,194,194,0.0251826828064031,0.015344821192697785,0.0002467197053734,0.008190966286766195,0.000130707881452,0.0011231387551239266
sensor_521,197,196,0.0131429644149842,0.011764705882352941,1.3395568874617378e-05,0.0,-7.486659905293567e-06,0.0
sensor_074,198,198,0.0,0.0,0.0,0.0,0.0,0.0
